Name,Created,Property,Tags
Dom D’agostino and Layne Norton,"August 1, 2022 1:38 PM",,Diet
Paul Stamets,"August 1, 2022 1:38 PM",,Psychedelics
"Seth McFarlane ","August 1, 2022 1:38 PM",,Comedy
Norm McDonald,"August 1, 2022 1:38 PM",,Comedy
Jim Carey,"August 1, 2022 1:38 PM",,"Comedy, Philosophy"
Daniel Sloss,"August 1, 2022 1:38 PM",,Comedy
Daniel Tosh,"August 1, 2022 1:38 PM",,Comedy
Craig Ferguson,"August 1, 2022 1:38 PM",,Comedy
Ricky Gervais,"August 1, 2022 1:38 PM",,Comedy
Henry Ford,"August 1, 2022 1:38 PM",,"Entrepreneurial, Productivity"
Tim Ferris,"August 1, 2022 1:38 PM",,Productivity
Christopher Voss,"August 1, 2022 1:38 PM",,Communication
https://www.brianmackenzie.com/,"August 1, 2022 1:38 PM",,Health
Joe Dispenza,"August 1, 2022 1:38 PM",,Health
Wim Hof,"August 1, 2022 1:38 PM",,Health
Peter Attia,"August 1, 2022 1:38 PM",,Health
Pythagoras,"August 1, 2022 1:38 PM",,Philosophy
Jiddu Krishnamurti,"August 1, 2022 1:38 PM",,Philosophy
Aristotle,"August 1, 2022 1:38 PM",,Philosophy
Daniel Dennet,"August 1, 2022 1:38 PM",,Philosophy
Epictetus,"August 1, 2022 1:38 PM",,Philosophy
Sargon of Akkad,"August 1, 2022 1:38 PM",,Philosophy
Rene Descartes,"August 1, 2022 1:38 PM",,Philosophy
Karl Marx,"August 1, 2022 1:38 PM",,"Economist, Philosophy"
Stefan Molyneux,"August 1, 2022 1:38 PM",,Philosophy
Niccolo Machiavelli,"August 1, 2022 1:38 PM",,Philosophy
Confucius,"August 1, 2022 1:38 PM",,Philosophy
Jason Silva,"August 1, 2022 1:38 PM",,"Communication, Philosophy"
https://en.wikipedia.org/wiki/Charles_Bukowski,"August 1, 2022 1:38 PM",,Philosophy
Bill Hicks,"August 1, 2022 1:38 PM",,Philosophy
Alain de Botton,"August 1, 2022 1:38 PM",,Philosophy
Jean Paul Sartre,"August 1, 2022 1:38 PM",,Philosophy
Jean-Paul Sartre,"August 1, 2022 1:38 PM",,Philosophy
Bruce Lee,"August 1, 2022 1:38 PM",,Philosophy
Sacha Baron Cohen,"August 1, 2022 1:38 PM",,"Comedy, Philosophy"
Sam Harris,"August 1, 2022 1:38 PM",,Philosophy
Osho,"August 1, 2022 1:38 PM",,Philosophy
Immanuel Kant,"August 1, 2022 1:38 PM",,Philosophy
Alan Watts,"August 1, 2022 1:38 PM",,Philosophy
Socrates,"August 1, 2022 1:38 PM",,Philosophy
Alex Honnold,"August 1, 2022 1:38 PM",,"Climbing, Philosophy"
Mahatma Gandhi,"August 1, 2022 1:38 PM",,Philosophy
Laozi,"August 1, 2022 1:38 PM",,Philosophy
Muhammad Ali,"August 1, 2022 1:38 PM",,Philosophy
Sun Tzu,"August 1, 2022 1:38 PM",,Philosophy
Plato,"August 1, 2022 1:38 PM",,Philosophy
Jocko Willink,"August 1, 2022 1:38 PM",,"Philosophy, Productivity"
Albert Camus,"August 1, 2022 1:38 PM",,Philosophy
Carl G. Jung,"August 1, 2022 1:38 PM",,"Philosophy, Psychology"
Sigmund Freud,"August 1, 2022 1:38 PM",,Psychology
Robert Sapolsky,"August 1, 2022 1:38 PM",,Psychology
Gabor Mate,"August 1, 2022 1:38 PM",,Psychology
Michio Kaku,"August 1, 2022 1:38 PM",,Computing
"Roy Jones, Jr.","August 1, 2022 1:38 PM",,Fighting
John Danaher,"August 1, 2022 1:38 PM",,Fighting
Anderson Silva,"August 1, 2022 1:38 PM",,Fighting
Fedor Emelianenko,"August 1, 2022 1:38 PM",,Fighting
Jorge Masvidal,"August 1, 2022 1:38 PM",,Fighting
Sugar Ray Robinson,"August 1, 2022 1:38 PM",,Fighting
Khabib Nurmagomedov,"August 1, 2022 1:38 PM",,Fighting
"Jon Jones ","August 1, 2022 1:38 PM",,Fighting
Christian Bale,"August 1, 2022 1:38 PM",,Acting
