Name,Created,Property,Tags
Jim Morrison,"August 1, 2022 1:38 PM",,Singer
Muhammad Ali,"August 1, 2022 1:38 PM",,Philosophy
Sun Tzu,"August 1, 2022 1:38 PM",,Philosophy
Plato,"August 1, 2022 1:38 PM",,Philosophy
George Washington,"August 1, 2022 1:38 PM",,Politics
Jocko Willink,"August 1, 2022 1:38 PM",,"Philosophy, Productivity"
Robert Downey Jr.,"August 1, 2022 1:38 PM",,Acting
Mitch Hedberg,"August 1, 2022 1:38 PM",,
Mike Tyson,"August 1, 2022 1:38 PM",,
Michio Kaku,"August 1, 2022 1:38 PM",,Computing
Jay Z,"August 1, 2022 1:38 PM",,
Albert Camus,"August 1, 2022 1:38 PM",,Philosophy
Stephen Hawkins,"August 1, 2022 1:38 PM",,Physics
https://www.ynharari.com/,"August 1, 2022 1:38 PM",,
Sugar Ray Robinson,"August 1, 2022 1:38 PM",,Fighting
Salvador Dali,"August 1, 2022 1:38 PM",,Artist
Ricky Gervais,"August 1, 2022 1:38 PM",,Comedy
Connor McGreggor,"August 1, 2022 1:38 PM",,
Bill Gates,"August 1, 2022 1:38 PM",,
Andrew Huberman,"August 1, 2022 1:38 PM",,
Peter Attia,"August 1, 2022 1:38 PM",,Health
Socrates,"August 1, 2022 1:38 PM",,Philosophy
Brian Cox,"August 1, 2022 1:38 PM",,Physics
Sadhguru,"August 1, 2022 1:38 PM",,
Chris Duffin,"August 1, 2022 1:38 PM",,
Alex Honnold,"August 1, 2022 1:38 PM",,"Climbing, Philosophy"
David Goggins,"August 1, 2022 1:38 PM",,
Wittgenstein,"August 1, 2022 1:38 PM",,
Mahatma Gandhi,"August 1, 2022 1:38 PM",,Philosophy
Vincent van Gogh,"August 1, 2022 1:38 PM",,Artist
Bill Burr,"August 1, 2022 1:38 PM",,
Khabib Nurmagomedov,"August 1, 2022 1:38 PM",,Fighting
Isaac Newton,"August 1, 2022 1:38 PM",,Physics
"Jon Jones ","August 1, 2022 1:38 PM",,Fighting
Laozi,"August 1, 2022 1:38 PM",,Philosophy
Rhonda Patrick,"August 1, 2022 1:38 PM",,
Ralph Waldo Emerson,"August 1, 2022 1:38 PM",,
Amadeus Mozart,"August 1, 2022 1:38 PM",,Artist
Dave Chappelle,"August 1, 2022 1:38 PM",,
Rick Ross,"August 1, 2022 1:38 PM",,Rapper
Aldous Huxley,"August 1, 2022 1:38 PM",,
Snoop Dogg,"August 1, 2022 1:38 PM",,Rapper
Steven Pinker,"August 1, 2022 1:38 PM",,
Sam Harris,"August 1, 2022 1:38 PM",,Philosophy
Jimmy Hendrix,"August 1, 2022 1:38 PM",,Musician
Randall Carlson and Graham Hancock,"August 1, 2022 1:38 PM",,
Charles Darwin,"August 1, 2022 1:38 PM",,
Claude Monet,"August 1, 2022 1:38 PM",,Artist
Richard Pryor,"August 1, 2022 1:38 PM",,
Osho,"August 1, 2022 1:38 PM",,Philosophy
Gabor Mate,"August 1, 2022 1:38 PM",,Psychology
Christopher Voss,"August 1, 2022 1:38 PM",,Communication
Derren Brown,"August 1, 2022 1:38 PM",,
Usain Bolt,"August 1, 2022 1:38 PM",,Athlete
Meek Mill,"August 1, 2022 1:38 PM",,Rapper
Immanuel Kant,"August 1, 2022 1:38 PM",,Philosophy
Tyson Fury,"August 1, 2022 1:38 PM",,
Walt Disney,"August 1, 2022 1:38 PM",,"Artist, Entrepreneurial"
Bo Burnham,"August 1, 2022 1:38 PM",,
Alan Watts,"August 1, 2022 1:38 PM",,Philosophy
Pablo Picasso,"August 1, 2022 1:38 PM",,Artist
Kevin O'Leary,"August 1, 2022 1:38 PM",,
Roger Federer,"August 1, 2022 1:38 PM",,Athlete
Fyodor Dostoevsky,"August 1, 2022 1:38 PM",,Author
Jimmy Carr,"August 1, 2022 1:38 PM",,
Wim Hof,"August 1, 2022 1:38 PM",,Health
Marie Curie,"August 1, 2022 1:38 PM",,Science
